fecha,Edad,Valor,id_depa_sede,id_depa_procedencia,id_municipio_sede,id_municipio_procedencia,id_sede,id_tipo_delito,id_atencion,id_grupo_etnico,id_orientacion_sexual,id_atencion_vcm
2020-10-25,23,1,1,1,1,1,2,1,1,1,3,140
2020-11-04,37,1,1,1,1,1,2,1,1,13,5,141
2020-10-20,45,1,1,1,1,1,2,1,1,1,3,142
2022-07-14,30,1,20,8,9,511,7,1,1,13,5,143
2020-10-28,34,1,1,1,1,105,2,3,1,1,3,144
2022-07-13,41,1,8,16,5,,5,2,1,1,3,145
2022-07-13,52,1,20,16,9,1303,7,1,1,6,3,146
2022-07-14,30,1,8,20,5,9,5,3,1,1,3,147
2022-07-14,47,1,1,20,1,,2,1,1,13,3,148
2022-07-14,34,1,20,20,9,914,7,1,1,13,5,149
2022-07-15,30,1,1,7,1,1203,2,1,1,1,3,150
2020-12-07,39,1,1,1,1,1,2,4,1,1,3,151
2021-07-01,17,1,20,1,9,1,7,1,1,6,3,152
2022-09-11,38,1,1,1,1,115,2,1,1,13,5,153
2021-06-07,49,1,1,1,1,1,2,1,1,13,5,154
2022-07-14,35,1,20,1,9,1,7,1,1,1,3,155
2022-07-14,53,1,1,20,1,906,2,1,1,1,3,156
2022-07-15,38,1,20,5,9,1401,7,4,1,1,3,157
2022-07-15,51,1,1,20,1,9,2,1,1,1,3,158
2022-07-15,37,1,1,8,1,505,2,1,1,1,3,159
2022-07-15,35,1,1,8,1,505,2,1,1,1,3,160
2022-07-15,48,1,1,20,1,9,2,1,1,1,3,161
2022-07-15,35,1,20,20,9,,7,1,1,6,3,162
2022-07-19,24,1,20,20,9,921,7,3,1,6,3,163
2022-07-18,24,1,1,1,1,115,2,1,1,13,5,164
2022-07-20,33,1,1,1,1,1,2,3,1,13,5,165
2022-07-18,56,1,20,19,9,7,7,1,1,1,3,166
2022-07-20,25,1,1,1,1,108,2,3,1,13,5,167
2022-07-20,52,1,20,1,9,1,7,1,1,13,5,168
2022-07-20,30,1,20,20,9,9,7,3,1,1,3,169
2022-07-18,41,1,20,16,9,,7,4,1,2,3,170
2022-07-20,19,1,20,20,9,9,7,1,1,1,3,171
2022-07-20,34,1,20,1,9,1,7,3,1,13,5,172
2022-07-18,52,1,20,20,9,913,7,4,1,6,3,173
2022-07-22,26,1,1,1,1,114,2,1,1,1,3,174
2022-07-19,24,1,20,20,9,910,7,4,1,1,3,175
2022-07-20,32,1,20,8,9,502,7,4,1,1,3,176
2022-07-19,29,1,8,1,5,1,5,3,1,1,3,177
2022-07-21,31,1,20,1,9,102,7,4,1,1,3,178
2021-12-20,28,1,8,1,5,1,5,3,1,1,3,179
2022-07-23,19,1,1,20,1,9,2,1,1,1,3,180
2022-07-22,52,1,20,1,9,1,7,1,1,8,3,181
2022-07-23,35,1,1,20,1,9,2,1,1,13,5,182
2022-07-25,44,1,20,8,9,510,7,4,1,8,3,183
2022-07-25,30,1,1,8,1,5,2,1,1,1,3,184
2022-07-25,25,1,1,20,1,9,2,1,1,13,5,185
2022-07-25,28,1,1,5,1,1401,2,1,1,1,3,186
2022-07-25,37,1,1,8,1,5,2,1,1,13,5,187
2022-07-26,43,1,20,1,9,1,7,2,1,13,3,188
2022-07-25,30,1,20,8,9,5,7,3,1,8,3,189
2022-07-25,51,1,20,20,9,9,7,3,1,6,3,190
2022-07-25,24,1,8,20,5,,5,3,1,1,3,191
2022-07-26,53,1,4,1,22,115,6,4,1,13,5,192
2022-07-26,39,1,8,8,5,5,5,3,1,1,3,193
2022-07-26,43,1,20,8,9,508,7,1,1,13,3,194
2022-07-26,42,1,20,8,9,508,7,3,1,1,3,195
2022-07-26,40,1,20,8,9,507,7,1,1,8,3,196
2022-07-26,40,1,20,4,9,2212,7,1,1,1,3,197
2022-07-26,24,1,8,8,5,5,5,1,1,1,3,198
2022-07-26,26,1,20,11,9,1801,7,1,1,1,3,199
2022-07-27,48,1,8,20,5,920,5,4,1,13,3,200
2022-07-27,35,1,8,17,5,609,5,4,1,13,5,201
2022-07-27,41,1,4,1,22,1,6,3,1,1,3,202
2022-07-27,40,1,1,20,1,902,2,1,1,1,3,203
2022-07-29,37,1,1,1,1,1,2,1,1,1,3,204
2022-07-28,29,1,20,1,9,108,7,1,1,6,3,205
2022-07-28,49,1,20,23,9,1712,7,2,1,1,3,206
2022-07-28,34,1,8,20,5,9,5,3,1,1,3,207
2022-07-28,46,1,20,4,9,22,7,1,1,1,3,208
2022-07-29,57,1,1,19,1,710,2,1,1,13,5,209
2022-07-28,27,1,20,4,9,2210,7,1,1,1,3,210
2022-07-29,26,1,1,2,1,8,2,1,1,1,3,211
2022-07-29,33,1,20,1,9,1,7,3,1,1,3,212
2022-07-29,50,1,1,8,1,511,2,1,1,13,3,213
2022-07-29,29,1,1,1,1,1,2,1,1,1,3,214
2022-07-29,22,1,20,1,9,1,7,4,1,1,3,215
2022-07-29,30,1,4,1,22,1,6,4,1,13,5,216
2022-07-29,30,1,4,1,22,1,6,4,1,13,5,217
2022-08-02,28,1,20,5,9,1401,7,3,1,1,3,218
2022-08-03,31,1,1,1,1,1,2,1,1,14,3,219
2022-08-02,33,1,20,5,9,1401,7,3,1,6,3,220
2022-08-02,32,1,20,20,9,9,7,3,1,13,5,221
2022-08-03,37,1,3,1,1601,1,1,1,1,1,3,222
2022-08-03,37,1,3,1,1601,1,1,1,1,1,3,223
2022-08-03,37,1,3,1,1601,1,1,1,1,1,3,224
2022-08-03,29,1,3,8,1601,505,1,1,1,1,3,225
2022-08-03,36,1,3,4,1601,2205,1,1,1,13,3,226
2022-08-03,29,1,20,4,9,22,7,1,1,6,3,227
2022-07-30,29,1,4,1,22,116,6,3,1,13,5,228
2022-07-30,29,1,4,8,22,509,6,3,1,13,5,229
2022-07-28,40,1,4,8,22,5,6,4,1,1,3,230
2022-08-03,51,1,1,1,1,1,2,1,1,1,3,231
